"ID","Title","Attachments","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C38","The """" For companies"""" page should contain info for recruiters about the product","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","For companies","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C39","The """" For companies"""" page should contain a comparison with other resources","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","For companies","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C40","The """" For companies"""" page should contain quotes from the CEO","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","For companies","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C41","The """" For companies"""" page should contain logos of partners.","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","For companies","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C42","The """" For companies"""" page contains the [Hire Engineers] button.","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Hired Engineers] button","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C43","The  [Hire Engineers] button redirects the user to the Sign in/Sign Up page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Hired Engineers] button","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C44","The """"For Engineers"""" page should contain link to Jobs","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","For engineers","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C45","The """"For Engineers"""" page should contain link to Web3 Companies","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Medium","","For engineers","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C46","""""For Engineers"""" page should contain login via """"Google"""" icon","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign up with Google” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C47","When the user clicks on login via the """"Google"""" icon, the Google """"OAuth Authorization"""" page is opened","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign up with Google” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C48","""""For Engineers"""" page should contain login via the """"LinkedIn"""" icon","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign up with LinkedIn” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C49","When the user clicks on login via the """"LinkedIn"""" icon, the Instagram """"OAuth Authorization page is opened","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign up with LinkedIn” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C50","""""For Engineers"""" page should contain login via """"GitHub"""" icon","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign up with GitHub” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C51","When the user clicks on login via the """"GitHub"""" icon, the GitHub """"OAuth Authorization"""" page is opened","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign up with GitHub” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C52","The 	""""For Engineers"""" page should contain """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C53","When users enter a valid email in the """"Email"""" field, they are redirected to the """"Create account"""" page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C54","The user can't be redirected to the """"Create account """" page without the At symbol (@) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C55","The user can't be redirected to the """"Create account """" page without the dot symbol (.) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C56","When the user enters an invalid email the validation message is appeared","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C57","The user can't be redirected to the """"Create account """" page without the username before the At symbol in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C58","The user can be redirected to the """"Create account """" page with the subdomain in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C59","The user can't be redirected to the """"Create account """" page without the domain in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C60","The user can't be redirected to the """"Create account """" page with multiple @ symbols in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C61","The user can't be redirected to the """"Create account """" page with unsupported symbols in the """"Email"""" field (""""!"""",""""#"""")","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C62","The user can't be redirected to the """"Create account """" page with an uppercase letter in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C63","The user can't be redirected to the """"Create account """" page with SQL/script injection attempt in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C64","The """"For Engineers"""" page should contain [Get offers] button","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Get offers] button","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C65","When the users click on the [Get offers] button, they are redirected to the """"Create account"""" page.","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Get offers] button","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C66","The """"For Engineers"""" page should contain at least 10 feedback from real users at the bottom of the page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Medium","","Feedback from users","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C67","When not logged in user hovers over the filters section, the [Free Sign Up] button appears","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Free sign-up ] button","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C68","When not logged in users  click on  [Free sign-up ] button, they are redirected to """"Create an account"""" page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Free sign-up ] button","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C69","When not logged in user hover over the filters section the [Sign Up] button is appeared","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Sign in] button","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C70","When a  not logged-in user hovers over the filters section, the [ Sign In] button appears","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Sign in] button","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C71","When not logged in users click on the [Sign-in] button, they are redirected to the """"Sign In"""" page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Sign in] button","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C72","When not logged in user clicks on the """"Sign In"""" link, they are redirected to the """"Sign In"""" form","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign in” link","1","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C73","The """"Sign In"""" form should contain the """"Email""""  required field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Sign In form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C74","The """"Sign In"""" form should contain a """"Password"""" required field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Sign In form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C75","The """"Sign In"""" form should contain """"Forgot password"""" link","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Sign In form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C76","The """"Sign In"""" form should contain [Sign In] button","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Sign In form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C77","The """"Sign In"""" form should contain """"Sign Up"""" link","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Sign In form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C78","The user can sign in to filling  all required fields","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","Sign In form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C79","The user can sign in with valid credentials","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","Sign In form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C80","The user can sign in by entering in the """"Email"""" field already registered email","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C81","The user can't Sign In without the dot symbol (.) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C82","The user can't  Sign In without the At symbol (@) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C83","When the user enters an invalid email in the """"Email"""" field, the validation message appears","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C84","The user can't Sign In without the username before the 'at"""" symbol in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C85","The user can sign in  with the subdomain in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C86","The user can't sign in without the domain in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C87","The user can't Sign in with multiple @ symbols in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C88","The user can't Sign in with empty """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C89","The user can't Sign In with unsupported symbols in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C90","The user can't sign in with an uppercase letter in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C91","The user can't sign in with a SQL/script injection attempt in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C92","The user can't sign in with long email (64+ characters before @) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C93","The user can't sign in with long domain (over 254 total characters) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C94","The user can sign in by entering in the """"Password"""" field already registered password.","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C95","When the user enters an invalid password in the """"Password"""" field, the validation message is appeared","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Medium","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C96","The user can't sign in with empty """"Password""""  field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C97","The user can't sign in by entering the """"Password"""" field to the maximum length (129-character password)","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C98","The user can't sign in by entering only letters in  the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C99","The user can't sign in by entering only numbers in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C100","The user can't sign in by entering only special symbols in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C101","The user can sign in by entering at least one uppercase letter in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C102","The user can sign in by entering at least one lowercase letter in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C103","The user can sign in by entering at least one number in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C104","The user can sign in by entering at least one special character in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C105","The user can't sign in by entering SQL/script injection in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C106","The """"Password"""" field should contain visibility toggle","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Medium","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C107","When the users enter all valid credentials and click on the [Sign In] button, they are redirected to the profile information page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Sign in] button","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C108","When users click on the """"Forgot password """" link, they are redirected to the """"Forgot password"""" page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Forgot password” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C109","When users click on the """"Sign up"""" link, they are redirected to the """"Create an account"""" page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","""""Sign Up"""" link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C110","When not logged in users click on """"Sign up"""" link, they are redirected to """" Create an account """" form","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","""""Sign up"""" link","1","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C111","The """" Create an account"""" form should contain the """"Email"""" required field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Create an account form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C112","The """" Create an account """" form should contain the """"Password"""" required field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Create an account form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C113","The """" Create an account"""" form should contain the """"Repeat password"""" required field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Create an account form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C114","The """" Create an account form """" form should contain """"Sign Up via LinkedIn"""" link","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Create an account form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C115","The """" Create an account form """" form should contain """"Sign Up via Google"""" link","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Create an account form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C116","The """" Create an account form """" form should contain """"Sign Up via GitHub"""" link","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Create an account form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C117","The """" Create an account form """" form should contain [Create an account] button","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Create an account form","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C118","The users can sign up with valid email credentials","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C119","The user can't sign up without the dot symbol (.) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C120","The user can't sign up without the At symbol (@) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C121","When the user enters an invalid email in the """"Email"""" field, the validation message appears","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C122","The user can't sign up without the username before the 'at"""" symbol in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C123","The user can sign up  with the subdomain in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C124","The user can't sign up without the domain in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C125","The user can't sign up with multiple @ symbols in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C126","The user can't sign up with an empty """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C127","The user can't sign up with unsupported symbols in the """"Email"""" field (#, $, %, ^, *, =, <, >, {}, [], |, \, /)","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C128","The user can't sign up with a SQL/script injection attempt in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C129","The user can't sign up with a long email (64+ characters before @) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C130","The user can't sign up with a long domain (over 254 total characters) in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C131","The user can't sign up with Non-Latin letters in the """"Email"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Email” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C132","The users can sign up with valid password credentials","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C133","The user can't sign up with an empty """"Password""""  field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C134","The user can't sign up by entering the """"Password"""" field to the maximum length (129-character password)","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C135","The user can't sign up by entering only letters in  the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C136","The user can't sign up by entering only numbers in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C137","The user can't sign up by entering only special symbols in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C138","The user can sign up by entering at least one uppercase letter in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C139","The user can sign up by entering at least one lowercase letter in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C140","The user can sign up by entering at least one number in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C141","The user can sign up by entering at least one special character in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Critical","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C142","The user can't sign up by entering SQL/script injection in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C143","The """"Password"""" field should contain visibility toggle","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Medium","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C144","When the user clicks on the password visibility toggle, the password characters become visible, and when toggling again,  are hidden in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Medium","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C145","The user can't sign up by entering one character in the """"Password"""" field","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Password” field","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C146","When the user clicks on sign up via the """"Google"""" icon, the LinkedIn """"OAuth Authorization"""" page is opened","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign up with Google” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C147","When the user clicks on sign up via the """"LinkedIn"""" icon, the LinkedIn """"OAuth Authorization"""" page is opened","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign up with LinkedIn” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C148","When the user clicks on sign up via the """"GitHub"""" icon, the GitHub """"OAuth Authorization"""" page is opened","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","“Sign up with GitHub” link","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C149","When the user clicks on the [Create account] button, are redirected to the """" I am a candidate/a recruiter"""" page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","[Create account] button","3","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C150","Web3 companies and Jobs should contain a table with 100 web3 companies split by 10, like 10/100; N/100; 100/100","","Maryna Kovalenko","10/22/2025 8:59 AM","","","Medium","","Web3 companies and Jobs","1","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C151","Each company should have a clickable logo on the  """"Web3 companies and Jobs"""" page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Clickable logo","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C152","When user click on the logo  open a page in a new tab with a list of vacancies for this company","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Clickable logo","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C153","Each company should have a clickable name on the """"Web3 companies and Jobs"""" page","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Clickable name","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C154","When user click on the name open a page in a new tab with a list of vacancies for this company","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Clickable name","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C155","Unauthorized users should not be able to post a new job","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Page with a list of vacancies","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
"C156","When Unauthorized users click on the [View more] button, the pop-up """"Let's create an account"""" appeared","","Maryna Kovalenko","10/22/2025 8:59 AM","","","High","","Page with a list of vacancies","2","","Master","S6","Other","Maryna Kovalenko","10/22/2025 8:59 AM"
